ln_m,U
-1.481605e+00,1.002781e-01
-7.884574e-01,7.006787e-02
-9.531018e-02,2.743413e-02
3.101549e-01,-6.638369e-03
5.978370e-01,-3.463076e-02
8.209806e-01,-6.132016e-02
1.003302e+00,-8.474301e-02
1.226446e+00,-1.167204e-01
1.408767e+00,-1.473241e-01
1.609438e+00,-1.903122e-01
1.776492e+00,-2.148137e-01
1.919593e+00,-2.550325e-01
